,player,nationality,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches
174,Pervis Estupiñán,ec,DF,Brighton,25,1998,13.8,962,851,107,22,1,3,65,73,12,6,2,0,809,4,20,Matches
175,Jonny Evans,nir,DF,Manchester Utd,35,1988,15.5,832,778,51,18,1,0,0,3,0,0,0,0,729,3,7,Matches
176,Eberechi Eze,eng,"MF,FW",Crystal Palace,25,1998,22.8,909,759,144,54,7,6,107,5,71,30,23,3,700,6,20,Matches
177,Łukasz Fabiański,pl,GK,West Ham,38,1985,8.0,239,161,77,21,0,3,0,0,0,0,0,0,160,1,1,Matches
178,Romain Faivre,fr,"MF,FW",Bournemouth,25,1998,0.5,26,25,1,1,0,0,3,0,0,0,0,0,19,0,0,Matches
179,Ansu Fati,es,"MF,FW",Brighton,20,2002,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10,Matches
180,Felipe,br,DF,Nott'ham Forest,34,1989,4.2,215,206,8,7,0,1,0,1,0,0,0,0,183,1,1,Matches
181,Evan Ferguson,ie,FW,Brighton,18,2004,15.2,303,269,32,0,1,0,1,0,0,0,0,0,244,2,13,Matches
182,Bruno Fernandes,pt,"MF,FW",Manchester Utd,28,1994,34.6,2179,1872,284,64,30,22,223,22,151,46,55,8,1590,23,62,Matches
183,Enzo Fernández,ar,MF,Chelsea,22,2001,24.5,1862,1756,89,52,21,28,45,5,22,4,7,0,1574,17,30,Matches
184,John Fleck,sct,"MF,DF",Sheffield Utd,31,1991,1.0,40,36,4,2,1,0,0,0,0,0,0,0,29,0,0,Matches
185,Mark Flekken,nl,GK,Brentford,30,1993,36.5,1580,1122,455,166,0,5,0,0,0,0,0,0,1131,3,0,Matches
