,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
114,Maxwel Cornet,ci,"MF,FW",West Ham,26,1996,1.2,5,4.02,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
115,Vladimír Coufal,cz,DF,West Ham,30,1992,34.8,77,2.21,50,18,3,2,3,1,12,0.34,12,0,0,0,0,0,Matches
116,Philippe Coutinho,br,"MF,FW",Aston Villa,31,1992,0.3,2,7.20,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Aaron Cresswell,eng,"DF,FW",West Ham,33,1989,4.8,12,2.48,7,3,0,0,2,0,1,0.21,1,0,0,0,0,0,Matches
118,Marc Cucurella,es,DF,Chelsea,25,1998,19.8,35,1.77,28,1,1,1,4,0,3,0.15,2,0,0,0,1,0,Matches
119,Josh Cullen,ie,MF,Burnley,27,1996,22.9,66,2.89,56,6,0,1,2,1,8,0.35,6,2,0,0,0,0,Matches
120,Matheus Cunha,br,"FW,MF",Wolves,24,1999,27.1,78,2.88,46,1,12,8,8,3,13,0.48,9,0,1,1,1,1,Matches
121,Sam Curtis,ie,DF,Sheffield Utd,17,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,Mahmoud Dahoud,de,MF,Brighton,27,1996,5.0,13,2.59,13,0,0,0,0,0,2,0.40,2,0,0,0,0,0,Matches
123,Ameen Al-Dakhil,be,DF,Burnley,21,2002,11.7,8,0.68,5,0,1,2,0,0,1,0.09,1,0,0,0,0,0,Matches
124,Diogo Dalot,pt,DF,Manchester Utd,24,1999,35.3,78,2.21,67,4,2,3,1,1,7,0.20,6,0,0,1,0,0,Matches
125,Mikkel Damsgaard,dk,MF,Brentford,23,2000,9.4,26,2.78,18,3,0,3,1,1,5,0.54,3,0,0,1,1,0,Matches
126,Danilo,br,MF,Nott'ham Forest,22,2001,19.9,48,2.41,34,5,4,4,1,0,4,0.20,4,0,0,0,0,0,Matches
127,Arnaut Danjuma,nl,"MF,FW",Everton,26,1997,6.6,18,2.72,9,0,1,5,2,1,1,0.15,0,0,0,1,0,0,Matches
128,Jayden Danns,eng,FW,Liverpool,17,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Josh Dasilva,eng,"DF,FW",Brentford,24,1998,0.3,1,3.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
130,David Datro Fofana,ci,FW,Burnley,20,2002,9.8,18,1.84,8,0,4,4,1,1,2,0.20,0,0,2,0,0,0,Matches
131,Ben Davies,wls,DF,Tottenham,30,1993,12.1,15,1.24,14,0,0,0,1,0,2,0.17,1,0,0,0,1,0,Matches
132,Tom Davies,eng,MF,Sheffield Utd,25,1998,2.5,6,2.44,4,0,0,1,0,1,1,0.41,0,0,0,0,0,1,Matches
