,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
104,Ryan Christie,sct,MF,Bournemouth,28,1995,32.3,0,43,13,30.2,1.33,0.40,0.00,0.00,20.0,0,0,0,2.3,2.3,0.05,-2.3,-2.3,Matches
105,Carney Chukwuemeka,eng,"MF,FW",Chelsea,19,2003,2.5,1,3,2,66.7,1.19,0.79,0.33,0.50,19.9,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
106,Bobby Clark,eng,MF,Liverpool,18,2005,1.0,0,2,0,0.0,2.02,0.00,0.00,,18.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
107,Jordan Clark,eng,MF,Luton Town,29,1993,14.5,1,17,4,23.5,1.17,0.28,0.06,0.25,16.9,0,0,0,1.0,1.0,0.06,0.0,0.0,Matches
108,Nathaniel Clyne,eng,DF,Crystal Palace,32,1991,14.9,0,4,0,0.0,0.27,0.00,0.00,,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
109,Séamus Coleman,ie,DF,Everton,34,1988,7.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
110,Nathan Collins,ie,DF,Brentford,22,2001,29.5,1,10,2,20.0,0.34,0.07,0.10,0.50,9.9,0,0,0,1.7,1.7,0.17,-0.7,-0.7,Matches
111,Levi Colwill,eng,DF,Chelsea,20,2003,20.0,1,11,3,27.3,0.55,0.15,0.09,0.33,11.9,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
112,Lewis Cook,eng,MF,Bournemouth,26,1997,31.0,0,12,4,33.3,0.39,0.13,0.00,0.00,24.0,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
113,Jack Cork,eng,MF,Burnley,34,1989,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
114,Maxwel Cornet,ci,"MF,FW",West Ham,26,1996,1.2,1,4,1,25.0,3.21,0.80,0.25,1.00,12.5,0,0,0,0.4,0.4,0.10,+0.6,+0.6,Matches
115,Vladimír Coufal,cz,DF,West Ham,30,1992,34.8,0,8,2,25.0,0.23,0.06,0.00,0.00,22.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
116,Philippe Coutinho,br,"MF,FW",Aston Villa,31,1992,0.3,0,3,1,33.3,10.80,3.60,0.00,0.00,24.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
117,Aaron Cresswell,eng,"DF,FW",West Ham,33,1989,4.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
118,Marc Cucurella,es,DF,Chelsea,25,1998,19.8,0,8,4,50.0,0.40,0.20,0.00,0.00,14.4,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
119,Josh Cullen,ie,MF,Burnley,27,1996,22.9,2,16,5,31.3,0.70,0.22,0.13,0.40,22.8,0,0,0,0.6,0.6,0.04,+1.4,+1.4,Matches
120,Matheus Cunha,br,"FW,MF",Wolves,24,1999,27.1,12,72,36,50.0,2.66,1.33,0.15,0.31,18.0,0,1,1,9.5,8.7,0.12,+2.5,+2.3,Matches
121,Sam Curtis,ie,DF,Sheffield Utd,17,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
122,Mahmoud Dahoud,de,MF,Brighton,27,1996,5.0,0,6,1,16.7,1.19,0.20,0.00,0.00,26.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
123,Ameen Al-Dakhil,be,DF,Burnley,21,2002,11.7,1,8,3,37.5,0.68,0.26,0.13,0.33,16.0,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches
124,Diogo Dalot,pt,DF,Manchester Utd,24,1999,35.3,2,30,7,23.3,0.85,0.20,0.07,0.29,21.0,0,0,0,1.7,1.7,0.06,+0.3,+0.3,Matches
125,Mikkel Damsgaard,dk,MF,Brentford,23,2000,9.4,0,9,4,44.4,0.96,0.43,0.00,0.00,18.0,1,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
126,Danilo,br,MF,Nott'ham Forest,22,2001,19.9,2,23,7,30.4,1.16,0.35,0.09,0.29,21.0,0,0,0,1.8,1.8,0.08,+0.2,+0.2,Matches
127,Arnaut Danjuma,nl,"MF,FW",Everton,26,1997,6.6,1,25,9,36.0,3.78,1.36,0.04,0.11,16.0,1,0,0,2.6,2.6,0.10,-1.6,-1.6,Matches
128,Jayden Danns,eng,FW,Liverpool,17,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
129,Josh Dasilva,eng,"DF,FW",Brentford,24,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
130,David Datro Fofana,ci,FW,Burnley,20,2002,9.8,4,19,10,52.6,1.95,1.02,0.21,0.40,14.0,0,0,0,4.5,4.5,0.24,-0.5,-0.5,Matches
131,Ben Davies,wls,DF,Tottenham,30,1993,12.1,1,12,2,16.7,0.99,0.17,0.08,0.50,11.8,0,0,0,2.3,2.3,0.19,-1.3,-1.3,Matches
132,Tom Davies,eng,MF,Sheffield Utd,25,1998,2.5,0,4,1,25.0,1.63,0.41,0.00,0.00,15.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
133,Craig Dawson,eng,DF,Wolves,33,1990,24.5,1,16,5,31.3,0.65,0.20,0.06,0.20,11.2,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
134,Kevin De Bruyne,be,MF,Manchester City,32,1991,13.6,4,44,17,38.6,3.24,1.25,0.09,0.24,21.4,6,0,0,2.4,2.4,0.05,+1.6,+1.6,Matches
135,Hannes Delcroix,be,DF,Burnley,24,1999,6.5,0,4,2,50.0,0.61,0.31,0.00,0.00,11.2,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
136,Leander Dendoncker,be,MF,Aston Villa,28,1995,1.3,1,2,1,50.0,1.51,0.76,0.50,1.00,12.5,0,0,0,0.7,0.7,0.37,+0.3,+0.3,Matches
137,Moussa Diaby,fr,"FW,MF",Aston Villa,24,1999,24.2,6,54,22,40.7,2.24,0.91,0.11,0.27,15.9,0,0,0,7.0,7.0,0.13,-1.0,-1.0,Matches
138,Amad Diallo,ci,"FW,MF",Manchester Utd,21,2002,4.3,1,10,4,40.0,2.31,0.92,0.10,0.25,19.3,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
139,Amadou Diallo,eng,MF,Newcastle Utd,20,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
140,Rúben Dias,pt,DF,Manchester City,26,1997,28.4,0,20,8,40.0,0.70,0.28,0.00,0.00,15.2,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches
141,Luis Díaz,co,FW,Liverpool,26,1997,29.2,8,94,32,34.0,3.22,1.10,0.09,0.25,15.0,0,0,0,11.9,11.9,0.13,-3.9,-3.9,Matches
142,Eric Dier,eng,DF,Tottenham,29,1994,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
143,Lucas Digne,fr,DF,Aston Villa,30,1993,26.8,1,20,4,20.0,0.75,0.15,0.05,0.25,20.0,6,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
