,player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
0,Max Aarons,eng,DF,Bournemouth,23,2000,13.7,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,+0.2,7,25,13,2,43,Matches
1,Joshua Acheampong,eng,DF,Chelsea,17,2006,0.1,1,2,50.0,18,7,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2,Tyler Adams,us,MF,Bournemouth,24,1999,1.3,59,71,83.1,973,262,35,39,89.7,18,24,75.0,6,8,75.0,0,0.1,0.0,-0.1,1,9,0,0,5,Matches
3,Tosin Adarabioyo,eng,DF,Fulham,25,1997,18.0,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65.0,0,0.1,0.3,-0.1,2,47,2,0,62,Matches
4,Elijah Adebayo,eng,FW,Luton Town,25,1998,15.8,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0,0.7,0.4,-0.7,14,9,4,0,23,Matches
5,Simon Adingra,ci,FW,Brighton,21,2002,24.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,Matches
6,Nayef Aguerd,ma,DF,West Ham,27,1996,20.6,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,Matches
7,Brandon Aguilera,cr,FW,Nott'ham Forest,20,2003,0.1,4,8,50.0,48,23,3,6,50.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
8,Naouirou Ahamada,fr,"MF,FW",Crystal Palace,21,2002,3.9,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0.0,0.1,0.0,1,12,0,0,25,Matches
9,Anel Ahmedhodžić,ba,DF,Sheffield Utd,24,1999,29.4,745,988,75.4,12681,5037,334,384,87.0,345,422,81.8,53,137,38.7,0,0.8,0.6,-0.8,7,41,3,1,43,Matches
10,Ola Aina,ng,DF,Nott'ham Forest,26,1996,18.8,603,802,75.2,9610,4012,328,374,87.7,217,284,76.4,45,99,45.5,1,0.9,1.0,+0.1,11,58,13,6,68,Matches
11,Rayan Aït-Nouri,dz,"DF,MF",Wolves,22,2001,25.9,1005,1190,84.5,13946,3935,627,688,91.1,297,344,86.3,38,72,52.8,1,2.4,1.7,-1.4,25,60,13,4,99,Matches
12,Kristoffer Ajer,no,DF,Brentford,25,1998,20.4,610,810,75.3,10210,3786,291,337,86.4,263,332,79.2,45,103,43.7,1,2.3,2.7,-1.3,12,56,10,3,61,Matches
13,Manuel Akanji,ch,"DF,MF",Manchester City,28,1995,27.9,2180,2334,93.4,35688,9787,1091,1136,96.0,923,975,94.7,126,163,77.3,0,0.5,1.8,-0.5,13,214,15,2,148,Matches
14,Nathan Aké,nl,DF,Manchester City,28,1995,22.7,1716,1864,92.1,26189,8717,882,921,95.8,750,796,94.2,43,85,50.6,2,1.2,1.1,+0.8,10,148,5,1,116,Matches
15,Thiago Alcántara,es,MF,Liverpool,32,1991,0.1,7,10,70.0,130,30,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
