,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
45,Taiwo Awoniyi,ng,FW,Nott'ham Forest,25,1997,20,"1,042",52,30.5,11.6,12,74,1,8,19,0,1.05,17,21,-4,-0.35,+0.18,13.1,16.2,-3.0,-0.26,-0.25,Matches
46,Jordan Ayew,gh,"FW,MF",Crystal Palace,31,1991,35,"2,543",73,74.4,28.3,30,82,17,5,19,1,1.29,33,37,-4,-0.14,-0.45,31.8,35.2,-3.4,-0.12,-0.12,Matches
47,Benoît Badiashile,fr,DF,Chelsea,22,2001,18,"1,338",74,39.1,14.9,15,88,13,3,7,7,1.67,31,31,0,0.00,-0.61,31.0,25.7,+5.3,+0.36,-0.13,Matches
48,Leon Bailey,jm,"MF,FW",Aston Villa,25,1997,35,"2,068",59,60.5,23.0,22,76,3,13,31,1,1.77,53,32,+21,+0.91,+1.31,43.0,35.8,+7.2,+0.31,+0.56,Matches
49,Stefan Bajcetic,es,MF,Liverpool,18,2004,1,26,26,0.8,0.3,0,,0,1,26,6,3.00,0,2,-2,-6.92,-8.17,0.8,0.9,-0.2,-0.58,-1.70,Matches
50,Ellery Balcombe,eng,GK,Brentford,23,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
51,George Baldock,gr,DF,Sheffield Utd,30,1993,13,969,75,28.3,10.8,11,82,9,2,33,1,0.54,11,21,-10,-0.93,+1.24,9.3,21.8,-12.5,-1.16,-0.21,Matches
52,Carlos Baleba,cm,MF,Brighton,19,2004,27,"1,325",49,38.7,14.7,15,78,7,12,13,7,1.07,14,28,-14,-0.95,-1.25,16.0,23.5,-7.5,-0.51,-0.89,Matches
53,Fodé Ballo-Touré,sn,"DF,MF",Fulham,26,1997,6,71,12,2.1,0.8,0,,0,6,12,16,2.00,2,1,+1,+1.27,+1.46,1.9,1.1,+0.8,+0.98,+1.32,Matches
54,Mauro Bandeira,pt,MF,Arsenal,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
55,Shandon Baptiste,gd,MF,Brentford,25,1998,10,229,23,6.7,2.5,2,66,0,8,12,11,1.00,3,5,-2,-0.79,-0.59,4.8,3.0,+1.8,+0.69,+0.68,Matches
56,Valentín Barco,ar,"DF,FW",Brighton,19,2004,6,307,51,9.0,3.4,3,87,2,3,16,4,0.50,1,9,-8,-2.35,-2.37,4.3,4.9,-0.7,-0.19,-0.25,Matches
