,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
83,Reece Burke,eng,DF,Luton Town,26,1996,18.4,37,23,17,14,6,12,26,46.2,14,25,18,7,18,55,78,1,Matches
84,Dan Burn,eng,DF,Newcastle Utd,31,1992,30.3,61,33,37,20,4,26,61,42.6,35,55,25,30,37,98,124,1,Matches
85,Mason Burstow,eng,FW,Chelsea,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
86,Moisés Caicedo,ec,MF,Chelsea,21,2001,31.8,91,46,38,42,11,36,60,60.0,24,59,25,34,37,128,44,4,Matches
87,Tom Cairney,sct,MF,Fulham,32,1991,16.5,24,16,10,12,2,13,25,52.0,12,16,4,12,13,37,6,0,Matches
88,Dominic Calvert-Lewin,eng,FW,Everton,26,1997,24.1,13,6,2,6,5,2,15,13.3,13,14,4,10,4,17,38,0,Matches
89,Thomas Cannon,ie,FW,Everton,20,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
90,Diego Carlos,br,DF,Aston Villa,30,1993,20.2,27,16,22,4,1,13,21,61.9,8,24,19,5,13,40,78,3,Matches
91,Cesare Casadei,it,"FW,MF",Chelsea,20,2003,0.9,5,3,2,1,2,2,5,40.0,3,1,0,1,0,5,4,0,Matches
92,Casemiro,br,"MF,DF",Manchester Utd,31,1992,22.0,83,56,43,32,8,51,106,48.1,55,74,33,41,18,101,71,1,Matches
93,Kaelan Casey,eng,DF,West Ham,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
94,Matty Cash,pl,DF,Aston Villa,25,1997,23.8,54,31,24,24,6,29,59,49.2,30,35,14,21,18,72,59,0,Matches
95,Timothy Castagne,be,DF,Fulham,27,1995,29.3,49,24,23,16,10,26,44,59.1,18,38,10,28,38,87,69,1,Matches
96,Jonny Castro,es,MF,Wolves,29,1994,0.1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,Matches
97,Trevoh Chalobah,eng,DF,Chelsea,24,1999,10.6,16,12,10,2,4,10,15,66.7,5,8,7,1,8,24,51,0,Matches
98,Calum Chambers,eng,"MF,DF",Aston Villa,28,1995,1.7,3,0,3,0,0,0,1,0.0,1,2,1,1,2,5,4,0,Matches
99,Youssef Chermiti,pt,FW,Everton,19,2004,2.3,3,2,2,1,0,1,5,20.0,4,4,1,3,1,4,2,0,Matches
