,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
148,Matt Doherty,ie,"DF,MF",Wolves,31,1992,12.8,2,0,0,13,11,5,13,7,18,0,0,0,65,38,33,53.5,Matches
149,Jeremy Doku,be,"FW,MF",Manchester City,21,2002,17.7,3,0,0,15,33,5,61,9,22,2,0,0,75,2,3,40.0,Matches
150,Nicolás Domínguez,ar,"MF,FW",Nott'ham Forest,25,1998,16.6,4,0,0,26,16,2,6,18,34,0,0,0,108,21,19,52.5,Matches
151,Jamie Donley,eng,FW,Tottenham,18,2005,0.0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,1,50.0,Matches
152,Abdoulaye Doucouré,ml,"FW,MF",Everton,30,1993,29.2,7,0,0,53,8,21,26,15,27,0,1,0,144,24,40,37.5,Matches
153,Cheick Doucouré,ml,MF,Crystal Palace,23,2000,10.2,2,0,0,10,1,0,1,20,17,0,0,0,74,5,9,35.7,Matches
154,Alfie Doughty,eng,DF,Luton Town,23,1999,32.5,5,0,0,31,9,13,340,31,40,0,0,0,185,23,12,65.7,Matches
155,Tommy Doyle,eng,MF,Wolves,21,2001,13.6,2,0,0,11,4,0,28,12,13,0,0,0,93,0,4,0.0,Matches
156,Radu Drăgușin,ro,DF,Tottenham,21,2002,4.8,1,0,0,6,4,1,0,8,3,0,0,0,21,9,6,60.0,Matches
157,Martin Dúbravka,sk,GK,Newcastle Utd,34,1989,22.1,1,0,0,2,5,0,0,0,0,0,2,0,29,4,0,100.0,Matches
158,Paul Dummett,wls,DF,Newcastle Utd,31,1991,0.2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,100.0,Matches
159,Lewis Dunk,eng,DF,Brighton,31,1991,31.9,7,1,0,23,12,1,7,31,14,0,1,0,180,57,32,64.0,Matches
160,Jhon Durán,co,"FW,MF",Aston Villa,19,2003,5.3,5,0,0,12,8,4,6,1,5,1,0,0,15,20,12,62.5,Matches
161,George Earthy,eng,FW,West Ham,18,2004,0.4,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,,Matches
162,Ederson,br,GK,Manchester City,29,1993,30.9,5,0,0,2,4,0,0,0,0,0,1,0,53,8,0,100.0,Matches
163,Odsonne Édouard,fr,"FW,MF",Crystal Palace,25,1998,17.3,4,0,0,31,22,9,10,6,12,0,0,0,38,30,54,35.7,Matches
164,John Egan,ie,DF,Sheffield Utd,30,1992,5.4,2,0,0,6,1,0,0,13,4,0,1,0,21,14,8,63.6,Matches
165,Hjalmar Ekdal,se,DF,Burnley,24,1998,4.9,2,0,0,8,2,0,0,6,2,0,0,0,26,4,9,30.8,Matches
166,Anthony Elanga,se,"FW,MF",Nott'ham Forest,21,2002,27.0,1,0,0,9,26,19,58,8,19,0,0,0,96,17,37,31.5,Matches
167,Harvey Elliott,eng,"MF,FW",Liverpool,20,2003,15.0,2,0,0,7,13,1,62,6,17,1,0,0,78,9,13,40.9,Matches
